"code","source_page","view","schematic_x","schematic_y","primary_source_description","learning_note_he","learning_note_en","comparison_code","alternative_he","focused_check","alignment_33","source_conflict_33","review_status","reviewer","review_date","review_notes"
"LU 1","26","torsoFront","308","180","On the anterior thoracic region, at the same level as the first intercostal space, lateral to the infraclavicular fossa, 6 B-cun lateral to the anterior median line. Note 1: After locating LU2, LU1 is located 1 B-cun inferior to LU2. Note 2: ST14, KI26, CV20 and LU1 are located on the transverse line along the first intercostal space.","LU 2 קשורה לשקע שמתחת לעצם הבריח; LU 1 נמצאת נמוך יותר, בגובה המרווח הבין־צלעי הראשון. מעבר בין שתי הנקודות משנה גם את ציון הדרך, ולא רק את המספר.","LU 2 refers to the infraclavicular depression; LU 1 is lower, at the first intercostal level. The anatomical reference changes along with the point number.","LU 2","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LU 2","26","torsoFront","308","130","On the anterior thoracic region, in the depression of the infraclavicular fossa, medial to the coracoid process of the scapula, 6 B-cun lateral to the anterior median line. Note 1: After identifying the deltopectoral triangle when the arm is flexed and slightly abducted against resistance, LU2 is in the centre of the deltopectoral triangle. Note 2: ST13, KI27, CV21 and LU2 are located on the transverse line along the inferior border of the clavicle.","LU 2 קשורה לשקע שמתחת לעצם הבריח; LU 1 נמצאת נמוך יותר, בגובה המרווח הבין־צלעי הראשון. מעבר בין שתי הנקודות משנה גם את ציון הדרך, ולא רק את המספר.","LU 2 refers to the infraclavicular depression; LU 1 is lower, at the first intercostal level. The anatomical reference changes along with the point number.","LU 1","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LU 3","27","armFront","405","260","On the anterolateral aspect of the arm, just lateral to the border of the biceps brachii muscle, 3 B-cun inferior to the anterior axillary fold. Note: Longitudinally, LU3 is located at the same level as the junction of the upper one third and lower two thirds of the line con- necting the level with anterior axillary fold to LU5.","שתי הנקודות מתוארות ביחס לשריר הדו־ראשי ולקפל בית השחי הקדמי. ההבחנה ביניהן היא המרחק מן הקפל: 3 לעומת 4 B-cun לכיוון המרפק.","Both use the biceps and anterior axillary fold. The distinguishing measure from that fold is 3 versus 4 B-cun toward the elbow.","LU 4","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LU 4","27","armFront","410","292","On the anterolateral aspect of the arm, just lateral to the border of the biceps brachii muscle, 4 B-cun inferior to the anterior axillary fold.","שתי הנקודות מתוארות ביחס לשריר הדו־ראשי ולקפל בית השחי הקדמי. ההבחנה ביניהן היא המרחק מן הקפל: 3 לעומת 4 B-cun לכיוון המרפק.","Both use the biceps and anterior axillary fold. The distinguishing measure from that fold is 3 versus 4 B-cun toward the elbow.","LU 3","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LU 5","28","armFront","425","450","On the anterior aspect of the elbow, at the cubital crease, in the depression lateral to the biceps brachii tendon. Note: With the elbow flexed, LU5 is located at the cubital crease, between LI11 and PC3, separated from PC3 by the biceps brachii tendon.","קפל המרפק הוא ציון דרך משותף. LU 5 מתוארת בצד הרדיאלי של גיד הדו־ראשי, ו־PC 3 בצדו האולנרי. הגיד עוזר להבין את ההבדל בין צדי הקפל.","Both use the elbow crease. LU 5 is described on the radial side of the biceps tendon and PC 3 on its ulnar side; the tendon distinguishes the sides.","PC 3","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LU 6","28","armFront","402","629","On the anterolateral aspect of the forearm, on the line connecting LU5 with LU9, 7 B- cun superior to the palmar wrist crease. Note: LU6 is 5 B-cun inferior to LU5, 1 B-cun superior to the midpoint of the line connecting LU5 with LU9.","העוגן הוא הקו בין LU 5 ל־LU 9. המידה 7 B-cun נמדדת מקפל שורש כף היד כלפי מעלה; אין לבלבל אותה עם המרחק מהמרפק.","Use the LU 5–LU 9 line. The 7 B-cun measure starts at the wrist crease and runs proximally; it is not measured from the elbow.","LU 7","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LU 7","29","armFront","385","826","On the radial aspect of the forearm, between the tendons of the abductor pollicis longus and the extensor pollicis brevis muscles, in the groove for the abductor pollicis longus tendon, 1.5 B-cun superior to the palmar wrist crease.","המרחק מקפל שורש כף היד שונה: 1.5 B-cun ב־LU 7 לעומת 1 B-cun ב־LU 8. חשוב לקרוא גם את היחס לגידים ולזיז הרדיאלי, משום שהמרחק לבדו אינו מתאר את המיקום.","The wrist-crease distances differ: 1.5 B-cun for LU 7 and 1 B-cun for LU 8. Their tendon and radial-styloid relationships also matter; distance alone is insufficient.","LU 8","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LU 8","29","armFront","390","844","On the anterolateral aspect of the forearm, between the radial styloid process and the radial artery, 1 B-cun superior to the palmar wrist crease. Note: 1 B-cun superior to LU9.","המרחק מקפל שורש כף היד שונה: 1.5 B-cun ב־LU 7 לעומת 1 B-cun ב־LU 8. חשוב לקרוא גם את היחס לגידים ולזיז הרדיאלי, משום שהמרחק לבדו אינו מתאר את המיקום.","The wrist-crease distances differ: 1.5 B-cun for LU 7 and 1 B-cun for LU 8. Their tendon and radial-styloid relationships also matter; distance alone is insufficient.","LU 7","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LU 9","30","armFront","390","880","On the anterolateral aspect of the wrist, between the radial styloid process and the scaphoid bone, in the depression ulnar to the abductor pollicis longus tendon. Note: On the radial side of the palmar wrist crease, over the radial artery.","החישור ועצם הסירה ממקמים את LU 9 בצד הכפי־רדיאלי של שורש כף היד. LI 5 נמצאת בצד הגבי, בשקע ההרחה האנטומי. תחילה קובעים את פני היד, ואחר כך את השקע.","Radius and scaphoid locate LU 9 on the palmar-radial wrist. LI 5 uses the dorsal anatomical snuffbox. Establish the hand surface before identifying the depression.","LI 5","","supplied dataset","","","ממתין לסקירה מקצועית","","",""
"LU 10","30","handPalm","310","665","On the palm, radial to the midpoint of the first metacarpal bone, at the border between the red and white flesh.","LU 10 מתוארת בצד הכפי, לצד אמצע עצם המסרק הראשונה; LI 4 נמצאת בגב כף היד בין עצמות המסרק הראשונה והשנייה. בחירת הצד הכפי או הגבי קודמת להשוואת הסימונים.","LU 10 lies on the palm, radial to the first-metacarpal midpoint; LI 4 is on the dorsum between the first two metacarpals. Establish the hand surface before comparing the markers.","LI 4","","supplied dataset","הסימון הוצב בצד הרדיאלי של אמצע עצם המסרק הראשונה בשכבה החדשה.","","ממתין לסקירה מקצועית","","",""
